Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
AVG Mask Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,42237.5,2354.75,2055.91111111111,7822.375,155979.157894737,5567.21212121212,10486.5161923454,10805.9047362756,10409.5837642192,267,
B,,39502,9090.55263157895,6305.90566037736,6687.75376884422,48627.7078651685,8649.22362869198,11597.2203832753,11344.7329755116,11739.3272517321,289.333333333333,
C,,25265.9259259259,66707.75,1864.17142857143,13177.2881355932,16403.8157894737,4397.6625,17226.961414791,9718.52658884565,8218.49696969697,118469.666666667,
D,,6997.13333333333,3433.36363636364,11169.8139534884,7513.86274509804,8151.83695652174,5435.44918032787,9653.25921109666,9807.59525631216,9869.07963500622,1832.5,
E,,10303.1155965366,9476.2287278415,9488.20142915715,9784.46546929316,9968.93534778252,10979.7348693426,11180.7170962591,10810.397433947,10310.6423889294,13616.0510241913,
F,,9918.52567567568,9310.90737199915,9461.1300086793,10150.3063748387,9960.41127674428,10705.4908307621,10542.7261095958,10659.4865822785,10426.3532408954,13281.7584099204,
G,,10066.9134299373,9251.86991809382,9383.27096994536,9722.36381304052,9443.80891907856,9846.98426866005,9846.6873857404,10483.3987051793,9975.72278664731,12521.9844567679,
H,,10402.1432600437,11053.809519434,11154.5624385887,10936.5130643612,9675.35164703054,9792.24051217741,10636.0838260004,11301.431383803,11512.8471431958,13547.6705365116,

SD of Mask Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,65782.0920437318,2436.10892357054,3614.25568684294,38119.2299697197,329647.489087847,22777.3462614191,7037.71182763789,7263.3029106066,7049.83823990717,97,
B,,90959.5393730804,35251.8827964493,29131.8922354439,6575.36853427097,249855.054849906,8595.30937314256,18803.1194457086,8199.48263145293,9183.74920492481,12.1197726417992,
C,,55305.5476896647,228576.132655193,3203.75167118368,48934.8821526103,108031.021401349,7721.90300532153,120924.502326606,21325.6369787681,7695.58926908626,261284.011766039,
D,,12684.6750838255,8376.66157490535,30824.830945994,15676.533354054,33231.2321178623,7777.15213237084,29927.6363252435,7516.82073532531,6786.37103351453,2518.40946829542,
E,,11679.9523359721,7407.64269660193,8060.89372629517,7235.81332945554,8236.06805867121,18390.7430576871,9000.62555309517,12269.9792714613,7724.01564832387,19092.7104118954,
F,,8158.91264916713,9822.92855012135,7757.65051865352,9555.84925140437,8942.43945704416,12808.7330472974,12761.1487254235,9550.67196133922,8887.53988554681,12743.5445684131,
G,,13560.8100699557,10581.8050234688,10435.6604810078,8713.13573178038,8616.86265553915,22507.4110368595,9792.56839345433,11234.7304773858,9282.05701104479,16763.0265326335,
H,,17410.3785958633,15688.9851912325,11917.708959342,10329.7780538248,8809.75975890089,8868.54848966179,9351.92140794034,12438.4925830921,10741.8599147932,14319.2611960338,

% Well Sampled,1,2,3,4,5,6,7,8,9,10,11,12
A,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
B,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
C,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
D,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
E,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
F,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
G,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
H,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,

Analysis Settings Plate Maps,1,2,3,4,5,6,7,8,9,10,11,12
A,,1,1,1,1,1,1,1,1,1,1,,
B,,1,1,1,1,1,1,1,1,1,1,,
C,,1,1,1,1,1,1,1,1,1,1,,
D,,1,1,1,1,1,1,1,1,1,1,,
E,,1,1,1,1,1,1,1,1,1,1,,
F,,1,1,1,1,1,1,1,1,1,1,,
G,,1,1,1,1,1,1,1,1,1,1,,
H,,1,1,1,1,1,1,1,1,1,1,,

Focus Position Map,1,2,3,4,5,6,7,8,9,10,11,12
A,,4.04482412338257,4.03450536727905,4.01386785507202,4.00473976135254,3.99005508422852,3.99217200279236,4.0063271522522,4.01704263687134,4.03265333175659,4.06109571456909,,
B,,4.02630281448364,4.01042795181274,3.99045205116272,3.97497391700745,3.96544909477234,3.96478748321533,3.97431254386902,3.98568940162659,4.00738525390625,4.0352988243103,,
C,,4.03278541564941,4.00923728942871,3.98608660697937,3.967036485672,3.95685005187988,3.95446872711182,3.96677184104919,3.98158836364746,4.00963449478149,4.03596067428589,,
D,,4.0424427986145,4.01505851745605,3.98807072639465,3.96558117866516,3.96240615844727,3.95645332336426,3.97100520133972,3.98859977722168,4.01598405838013,4.04680824279785,,
E,,4.06149291992188,4.03344678878784,4.01360321044922,3.99243640899658,3.98211765289307,3.97947192192078,3.98992276191711,4.00817918777466,4.03516626358032,4.06784296035767,,
F,,4.08570194244385,4.05051231384277,4.03066873550415,4.00672388076782,4.00116777420044,3.99971270561218,4.01135444641113,4.02709722518921,4.05646562576294,4.08940649032593,,
G,,4.10567808151245,4.07657384872437,4.05792093276978,4.03305006027222,4.02974271774292,4.02789068222046,4.03384351730347,4.04694032669067,4.07961654663086,4.09496259689331,,
H,,4.1015772819519,4.07895517349243,4.05527496337891,4.03635740280151,4.04786682128906,4.04508829116821,4.04363298416138,4.05765676498413,4.07974863052368,4.09297800064087,,



Analysis Settings,Name,Version,Instance
,Untitled Analysis Settings 1,1000,1
General Settings,Item,Value
,bUseWellMask,False
,WellMaskUsageMode,0
,PercentWellMaskSize,100
,WellMaskShapeOverride,0
Identification Settings,Target 1 Frame Settings,,Target 2 Frame Settings,,Mask Frame Settings
,Item,Value,Item,Value,Item,Value
,FilterSizeUM,10,FilterSizeUM,10,FilterSizeUM,10
,BackgroundCorrection,False,BackgroundCorrection,False,BackgroundCorrection,False
, , , , ,Algorithm,1
, , , , ,IntensityThreshold,4
, , , , ,Precision,2
, , , , ,BFSharpen,0
, , , , ,DilationRadiusUM,0
, , , , ,SeparateTouchingBlobs,False
Pre-Filtering Settings,Target 1 Feature Settings,,Target 2 Feature Settings,,Mask Feature Settings
,Item,Value,Item,Value,Item,Value
,CellAreaRangeUM,10 to 10000,CellAreaRangeUM,10 to 10000,CellAreaRangeUM,10 to 10000
,CellIntensityRange,0 to 255,CellIntensityRange,0 to 255,CellIntensityRange,0 to 255
,CellSmoothnessMin,0,CellSmoothnessMin,0,CellSmoothnessMin,0
,CellAspectRatioMin,0,CellAspectRatioMin,0,CellAspectRatioMin,0

Classification Settings,Name,Version
,Untitled Classification Settings,1000
Classes,Class Name,Source Population Name
,Total,ALL
,Class 1,unassigned
,Class 2,unassigned
,Class 3,unassigned
,Class 4,unassigned
Gating,-none-


Image Channel Settings,Gain,Exposure,SetupMode,Illumination Source
Fluorescent Default Template (1),100,250000 (ums),Always,Red 531/629
Fluorescent Default Template (2),30,10000 (ums),Always,Green 483/536
Fluorescent Default Template (3),150,70000 (ums),Always,Blue 377/447

