Plate ID,"FreestyleMax FectoCHO Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:51:59 AM"
Scan Description,""
Scan Result ID,"01/04/19 10:34:36 PM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:51:59 AM - 22/03/19 3:17:46 AM"
Analysis Start Time,"01/04/19 10:34:36 PM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
G,,6307.95634312309,3208.87137395796,4272.6011212456,4830.58194421322,3387.35980443428,4033.35847589982,3947.1010508327,3541.37860193496,3657.215945707,NaN,
H,,4950.73313783844,3867.96168079854,4414.24015912341,7113.88006959504,4209.42025553406,4564.70523951924,5947.86969721449,5072.28353784468,5514.36137801663,NaN,

AVG Target 2 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,144.547514833336,143.214158899041,137.405500559354,139.240122506785,136.228355273692,143.885051274704,157.874704187567,147.034941305765,150.048983966033,NaN,
B,,140.648447579691,142.337650078422,142.29096890703,138.849548187864,139.720069799456,140.98238915565,136.758094266164,135.414664291754,135.064652099609,NaN,
C,,153.26187358183,159.439101290584,161.090906294052,155.068095069334,159.208948949902,169.121087446908,156.700558676648,142.742477719746,136.700032806396,NaN,
D,,158.048636852855,169.868324854865,168.363584857369,150.59091287552,170.804816040039,160.157655106377,164.418512253534,147.441360473633,180.763584454854,NaN,
E,,131.314269903934,163.503974327674,140.359649181366,139.625873671638,152.852522606943,111.350004626859,92.4964253210252,96.9190921040324,124.021658743581,NaN,
F,,129.685874618489,119.50324215985,135.383698964119,138.746561527252,111.574687290713,131.537195891785,98.3049551115261,100.258604769437,103.108960057648,NaN,
G,,115.460459542274,137.014983046682,124.669879046353,134.551083453866,134.694377197616,139.058760517522,97.7984233781917,137.08741944836,132.936858605279,NaN,
H,,140.988012133024,132.032426563834,133.270972141,142.141080293201,142.807307762828,137.923080831079,113.827475786209,113.238213394627,111.163596418169,NaN,

SD of Target 2 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,77.7995665892601,77.0660723044922,77.2505763440175,77.5327111229105,75.9535343212215,76.9958853765801,80.1848527950498,78.6497229838226,77.3943460285323,NaN,
B,,77.3910713879255,77.7230035567541,78.3099334271374,78.8129658420459,76.9594900996446,78.7076423422411,76.9588306224139,79.669129492706,78.2010296491931,NaN,
C,,79.2876716051548,78.2689989802343,79.5255396413433,78.5188479344121,79.2492242676186,79.8788456213794,78.4566485279619,83.6346855406605,87.3151491023661,NaN,
D,,79.4389573257481,77.5880595806392,79.3602979418099,80.0485588772444,73.5771766971357,76.9595531756396,85.512155963085,81.9714385179479,83.3807481904576,NaN,
E,,80.0379377350347,78.9013802594009,80.4490451386843,79.4696383895194,76.8203696048931,75.3673575026756,64.5199859736168,71.2406250357093,78.1867096313655,NaN,
F,,74.6835621236784,72.0192037777988,76.2762710736488,80.016755510769,70.734677668962,76.0316229492087,66.3947217101279,69.2094083160357,71.4697261732056,NaN,
G,,74.343046718898,72.4608248097742,72.5648459115347,81.216177371962,77.2349569125426,78.010338298008,60.339705643126,79.7996797028285,81.0295358608531,NaN,
H,,79.763169333985,75.7695496248685,78.7107324057513,82.8670380247183,78.9821318646067,78.3831106572418,80.737650604655,73.4839180659601,77.5151657067838,NaN,

AVG Target 2 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,8823.48530901722,8557.07616487455,7946.96394407653,8654.42950581395,8515.380611581,10202.9723461195,11213.3,10245.5219512195,9365.54314720812,NaN,
B,,9080.03761061947,9005.62235817575,8679.47180667434,9616.12450199203,10527.7707612457,10603.3183125599,11230.8776978417,10152.1317073171,11761.42,NaN,
C,,12078.5868005739,13195.9001663894,14235.8672316384,14207.9292168675,14449.5818505338,15005.3013245033,14307.6119402985,13781.2063492064,12814.4571428571,NaN,
D,,13356.3151408451,14721.6733668342,15162.7526132404,13421.0547945205,14455.216,14098.5979381443,14929.9523809524,12418.2307692308,13276.3333333333,NaN,
E,,6623.09090909091,5997.15384615385,6887.33333333333,6187.38888888889,7314.49019607843,5880.95161290323,5690.51612903226,5305.1948051948,5546.5,NaN,
F,,12197.3875338753,10660.8523489933,11848.65,6840.25,8429.91803278689,10979.0827338129,4816.13543307087,4556.2358490566,4518.96338028169,NaN,
G,,10090.09375,11031.8947368421,9555.77272727273,5690.58139534884,8603.20689655172,7897.78947368421,4008.01718213058,5539.13548387097,5075.27555555556,NaN,
H,,12259.3211009174,12365.5668016194,13307.0465116279,11931.4952380952,11576.7804878049,10849.3963133641,7942.97916666667,6083.17316017316,6493.55555555556,NaN,

SD of Target 2 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,7244.58222868813,7300.77603994381,6738.59503828087,7430.64977054311,7036.34919377943,8086.94823931027,8477.36053803412,8152.23795254309,7045.79390708622,NaN,
B,,7864.94016920057,7325.95325707898,7414.30585762895,7972.11744127289,8107.50563669287,8199.37352202659,7758.96745843243,7799.77977157639,8445.48437945391,NaN,
C,,8530.7684132338,7984.01966409708,8850.01987641164,8847.82418455027,8456.67173082138,8349.42458412703,7713.69435069713,8571.56284977126,8803.8256987447,NaN,
D,,8471.00932141935,7460.0116442608,7756.28099607146,7760.32272705509,7348.6913899921,8204.75988159525,9408.19037038215,7530.23318827661,8130.46520125933,NaN,
E,,4191.81643106369,4175.35216103253,4225.88387861706,3766.19929458641,4758.65674065635,4772.55093562579,5432.3215073684,4360.10439240855,3745.51892588911,NaN,
F,,8561.95313551785,7571.10910848349,8051.16086365811,5399.8464648312,7129.94146458183,7649.22068751116,4407.15164685206,3858.04853533221,3683.0998336421,NaN,
G,,7817.19787375636,7302.23613116116,6667.94178365148,4409.98943326561,6429.58292231269,5923.70474364558,3129.48718223286,3902.18510676398,3408.44200505846,NaN,
H,,8558.75747492772,8289.35526583765,8890.7721051517,9257.3853421896,8570.23139069336,7881.80440752698,7434.83451589426,5333.41572003747,4928.88883190562,NaN,

AVG Mask Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,31.7261906598092,31.9427205943765,32.213235451854,32.8762683751646,33.0747140643814,33.7799450934821,34.3421175055006,34.218495142301,34.8144562605896,33.1485093034831,
B,,32.8511907611012,33.0849726858179,32.9336405702649,33.9115910971424,34.3405741246527,34.9653774680757,35.8143890440179,35.7026559399353,36.0042419942665,33.4139970917723,
C,,34.304817514405,35.5397753056527,36.0604127882547,36.9606174878433,37.999422165195,39.0046909346474,39.2248024051109,39.1296881960505,38.7644852002462,35.1703900525402,
D,,35.4930368075295,37.4870716227798,38.2054004525456,38.9296474357075,37.9575454170784,37.6110181606177,38.5796824629325,36.9854897186046,35.2800298233458,38.2582138625177,
E,,26.6867162197997,23.3503203832803,24.8716451657698,26.2756399571056,26.7634608646234,26.6633721780086,27.9677876921261,27.1087896986441,26.8710841742175,17.3464727401733,
F,,36.7305289394316,36.6814309209322,37.1596141944126,27.2909327030182,32.8814693715731,35.5801246096516,28.1040459931039,27.0488425702873,27.4828586054542,17.6409091949463,
G,,36.0635643468882,35.2013600930855,31.8061761500842,26.1343268432186,30.7967470747052,29.2255653605493,26.9451876917479,26.3949076323262,27.0312876405015,18.2595760822296,
H,,35.0424223283103,37.0173203995491,36.9451845699453,32.786579119801,33.7848491528969,34.5250475175919,30.8447658354495,28.1680046934831,28.9234378247413,NaN,

SD of Mask Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,5.95216335745354,5.67119695839754,5.60211731845897,5.53822363298102,5.49523749910837,5.56730713657631,5.72566194718005,5.73891909714311,5.68029869030921,5.54715739602424,
B,,5.59095908110427,5.54674655183796,5.53925072505941,5.48099107611853,5.42674800880874,5.40869896195354,5.34935090937748,5.46583224560266,5.25083058106343,5.64415128934273,
C,,5.68098107795442,5.42785304526053,5.18225877886415,4.51258141626526,4.33405159332904,4.42094732786095,4.3452060249376,4.04600052634716,4.40111616910945,5.44286689034116,
D,,5.86147242641483,5.57509204170062,5.62589312235268,5.18565834132653,6.57331924758334,7.24841090422706,6.41596800166173,7.37159750746576,8.51303898111788,4.58010751128851,
E,,7.5772417976989,5.10930817063159,5.89896805831337,7.71703619844184,8.29344865158725,7.26214632283346,7.41937511786283,7.37690512116839,7.24451789262076,1.45067574148763,
F,,5.48450036241333,7.62231493923725,7.22557609443066,7.89388657234051,8.8805005874207,8.09805363908903,7.9651956707561,8.00662607926226,7.76368604329656,0.459091186523438,
G,,7.37184194746277,8.20871300223447,9.24062405638638,7.44006967749347,9.13242634045253,8.52493690570225,7.73274072951939,7.25244719957538,7.42344946263171,0.489196709621024,
H,,5.81231650432025,5.64289799051764,6.75822890566902,7.63377887739033,8.94637529147521,8.5259375948894,8.11977295615251,8.30011159673445,7.99083056877077,NaN,

AVG Mask Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,2125.45033112583,2035.9034620506,2015.43157894737,2246.22638338735,2272.19508057676,2587.22485025342,2735.84511304967,2716.96903132877,2798.04415194935,2380.9083143508,
B,,2326.27961432507,2369.76856274425,2293.17537418808,2666.23203205791,2831.44693382608,2921.53917734322,3112.31040669856,3041.39801444043,3184.14876394662,2402.41671446129,
C,,2787.9896499239,3286.10949681077,3485.87231759657,3588.85588309398,3659.43623942746,3662.49317617866,3726.0893258427,3822.94367693943,3746.86278735632,3122.60702341137,
D,,3256.09199134199,3450.08368967624,3537.23210248681,3567.49141150112,3226.57303370787,3230.58333333333,3513.01028277635,3019.27175572519,2768.77323420074,3541.96477584629,
E,,1452.53672316384,903.571428571429,1128.93959731544,1240.91549295775,1321.21354166667,1338.08695652174,1571.42941176471,1470.0625,1375.70175438596,344.8,
F,,3575.22938530735,3229.2380952381,3231.52551020408,1392.00357142857,2388.74245472837,2965.88888888889,1444.6491646778,1317.12467191601,1291.45234248788,370,
G,,3256.31956257594,2915.51295336788,2324.60744985673,1146.64124293785,2064.42626262626,1699.47228381375,1209.45682451253,1128.82647584973,1169.35169491525,378.25,
H,,3148.54429083461,3621.40656763096,3621.10695187166,2864.86266094421,2769.58241758242,2871.90476190476,2342.45658263305,1649.90701754386,1923.19271623672,NaN,

SD of Mask Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,1559.81898676608,1490.8701856852,1482.47624613039,1557.08939017265,1536.81650934336,1593.37065263527,1604.60103547338,1637.96376905219,1608.82912532638,1586.46557637729,
